NA,0,1,2,3,4,5.0,6.0,7,8,9,10,11,12,13,14,15,16,17,18.0,19.0,20.0,21,22.0,23,24,25.0,26,27,28.0,29,30,31.0,32,33.0,34,35,36.0,37,38,39,40,41,42,43,44,45.0,46.0,47.0,48.0,49,50,51,52.0,53,54,55.0,56.0,57,58.0,59,60,61,62,63.0,64,65,66,67,68,69.0,70,71,72.0,73,74,75,76,77,78,79,80.0,81.0,82.0,83.0,84,85.0,86,87.0,88,89.0,90.0,91,92,93.0,94,95
112.0,54.0,72.0,32.0,45.0,41.0,59.0,49.0,38.0,80.0,35.0,24.0,18.0,27.0,42.0,50.0,15.0,36.0,36.0,47.0,44.0,51.0,19.0,71.0,27.0,33.0,23.0,60.0,41.0,37.0,66.0,42.0,56.0,21.0,40.0,14.0,34.0,84.0,36.0,50.0,32.0,56.0,35.0,63.0,35.0,54.0,29.0,65.0,37.0,26.0,49.0,17.0,40.0,33.0,47.0,74.0,31.0,32.0,59.0,42.0,67.0,33.0,56.0,49.0,54.0,39.0,35.0,87.0,99.0,,42.0,,102.0,84.0,74.0,83.0,57.0,26.0,52.0,76.0,24.0,71.0,62.0,42.0,90.0,25.0,51.0,59.0,48.0,23.0,57.0,43.0,71.0,,49.0,31.0,39.0
119.0,52.0,71.0,31.0,44.0,39.0,59.0,48.0,40.0,79.0,34.0,21.0,18.0,26.0,40.0,48.0,14.0,35.0,36.0,45.0,44.0,52.0,18.0,66.0,26.0,33.0,24.0,57.0,39.0,35.0,64.0,38.0,48.0,21.0,33.0,14.0,32.0,98.0,35.0,47.0,33.0,57.0,40.0,68.0,36.0,52.0,30.0,63.0,35.0,24.0,48.0,19.0,37.0,27.0,50.0,71.0,29.0,31.0,56.0,42.0,61.0,33.0,59.0,46.0,54.0,39.0,36.0,74.0,96.0,,42.0,,98.0,76.0,69.0,85.0,48.0,26.0,56.0,77.0,24.0,70.0,61.0,43.0,89.0,25.0,46.0,53.0,46.0,24.0,55.0,45.0,67.0,,51.0,35.0,39.0
126.0,50.0,69.0,31.0,43.0,38.0,59.0,47.0,39.0,80.0,34.0,21.0,17.0,25.0,39.0,50.0,14.0,35.0,34.0,45.0,43.0,48.0,18.0,62.0,25.0,35.0,24.0,59.0,40.0,32.0,63.0,36.0,36.0,20.0,31.0,14.0,32.0,96.0,35.0,43.0,33.0,55.0,42.0,62.0,37.0,46.0,30.0,67.0,33.0,22.0,45.0,19.0,39.0,25.0,51.0,74.0,34.0,30.0,51.0,41.0,56.0,33.0,59.0,51.0,51.0,41.0,36.0,66.0,94.0,71.0,39.0,,84.0,68.0,64.0,85.0,53.0,25.0,53.0,73.0,23.0,68.0,61.0,41.0,91.0,22.0,45.0,54.0,48.0,27.0,52.0,46.0,68.0,,46.0,33.0,43.0
133.0,49.0,69.0,31.0,43.0,37.0,57.0,46.0,41.0,80.0,32.0,21.0,17.0,25.0,38.0,51.0,15.0,35.0,36.0,42.0,42.0,49.0,18.0,57.0,25.0,35.0,24.0,59.0,41.0,31.0,62.0,34.0,34.0,20.0,28.0,14.0,30.0,92.0,36.0,43.0,30.0,54.0,45.0,62.0,40.0,44.0,32.0,62.0,30.0,23.0,46.0,17.0,36.0,24.0,50.0,74.0,36.0,26.0,53.0,40.0,51.0,35.0,52.0,51.0,52.0,42.0,36.0,54.0,91.0,65.0,34.0,,67.0,67.0,65.0,87.0,64.0,25.0,55.0,72.0,22.0,64.0,52.0,34.0,91.0,23.0,42.0,46.0,43.0,25.0,59.0,47.0,72.0,,48.0,28.0,40.0
140.0,48.0,69.0,31.0,42.0,37.0,57.0,45.0,43.0,81.0,32.0,21.0,17.0,25.0,39.0,52.0,15.0,34.0,38.0,42.0,43.0,52.0,17.0,54.0,25.0,31.0,24.0,57.0,40.0,28.0,60.0,33.0,32.0,19.0,27.0,14.0,30.0,91.0,34.0,38.0,30.0,53.0,49.0,61.0,38.0,45.0,35.0,64.0,30.0,23.0,45.0,18.0,36.0,23.0,47.0,69.0,34.0,25.0,55.0,39.0,50.0,32.0,51.0,43.0,52.0,41.0,33.0,48.0,83.0,91.0,31.0,,76.0,61.0,58.0,86.0,78.0,25.0,54.0,71.0,20.0,68.0,50.0,37.0,89.0,25.0,39.0,43.0,47.0,21.0,62.0,45.0,70.0,,48.0,29.0,37.0
147.0,48.0,69.0,32.0,42.0,38.0,53.0,46.0,38.0,79.0,32.0,22.0,18.0,24.0,39.0,54.0,15.0,34.0,37.0,42.0,45.0,46.0,18.0,62.0,26.0,32.0,24.0,59.0,41.0,29.0,59.0,33.0,31.0,20.0,26.0,16.0,32.0,78.0,33.0,36.0,32.0,54.0,44.0,59.0,38.0,43.0,38.0,68.0,32.0,25.0,43.0,20.0,37.0,24.0,43.0,65.0,31.0,25.0,58.0,39.0,49.0,30.0,48.0,46.0,49.0,38.0,33.0,58.0,80.0,,29.0,,76.0,60.0,59.0,86.0,85.0,24.0,52.0,66.0,20.0,65.0,47.0,35.0,90.0,27.0,41.0,45.0,51.0,24.0,69.0,41.0,65.0,,48.0,27.0,37.0
154.0,48.0,69.0,32.0,42.0,38.0,52.0,46.0,37.0,80.0,33.0,22.0,20.0,25.0,41.0,53.0,15.0,33.0,42.0,41.0,44.0,47.0,19.0,62.0,26.0,31.0,23.0,55.0,40.0,31.0,59.0,33.0,31.0,20.0,26.0,18.0,32.0,77.0,33.0,36.0,30.0,57.0,43.0,59.0,36.0,43.0,38.0,66.0,32.0,27.0,43.0,21.0,35.0,23.0,43.0,64.0,29.0,26.0,60.0,40.0,49.0,31.0,47.0,43.0,48.0,34.0,32.0,63.0,81.0,,27.0,,70.0,59.0,59.0,85.0,79.0,28.0,53.0,62.0,19.0,67.0,46.0,36.0,85.0,25.0,38.0,44.0,50.0,23.0,74.0,43.0,63.0,,47.0,26.0,31.0
161.0,47.0,69.0,33.0,42.0,38.0,51.0,46.0,36.0,79.0,34.0,22.0,20.0,25.0,40.0,53.0,15.0,33.0,42.0,41.0,45.0,47.0,19.0,61.0,26.0,31.0,24.0,56.0,40.0,30.0,58.0,33.0,28.0,20.0,26.0,19.0,33.0,76.0,36.0,37.0,32.0,59.0,43.0,54.0,35.0,42.0,37.0,68.0,31.0,26.0,43.0,25.0,35.0,21.0,40.0,62.0,26.0,26.0,61.0,43.0,51.0,31.0,50.0,45.0,49.0,34.0,34.0,66.0,88.0,,29.0,,76.0,59.0,54.0,80.0,72.0,28.0,51.0,60.0,19.0,70.0,43.0,39.0,81.0,27.0,38.0,46.0,53.0,24.0,64.0,43.0,61.0,,45.0,27.0,31.0
168.0,47.0,69.0,33.0,43.0,39.0,51.0,46.0,34.0,81.0,34.0,23.0,21.0,25.0,41.0,50.0,16.0,33.0,39.0,40.0,46.0,45.0,19.0,63.0,27.0,32.0,25.0,57.0,42.0,29.0,58.0,34.0,29.0,21.0,24.0,20.0,33.0,78.0,38.0,38.0,32.0,58.0,42.0,55.0,34.0,41.0,38.0,72.0,31.0,27.0,44.0,27.0,34.0,20.0,45.0,59.0,29.0,26.0,60.0,42.0,49.0,36.0,51.0,47.0,47.0,35.0,36.0,63.0,88.0,,30.0,,56.0,58.0,53.0,79.0,61.0,27.0,50.0,59.0,19.0,63.0,38.0,39.0,85.0,24.0,41.0,50.0,51.0,25.0,63.0,45.0,65.0,41.0,44.0,25.0,33.0
175.0,47.0,69.0,34.0,42.0,39.0,53.0,46.0,35.0,80.0,35.0,23.0,21.0,25.0,41.0,49.0,16.0,33.0,41.0,39.0,43.0,47.0,19.0,55.0,28.0,31.0,26.0,56.0,41.0,28.0,57.0,34.0,29.0,20.0,26.0,19.0,33.0,77.0,37.0,40.0,27.0,56.0,45.0,54.0,32.0,43.0,38.0,73.0,31.0,26.0,49.0,24.0,31.0,18.0,45.0,62.0,32.0,27.0,62.0,41.0,51.0,38.0,49.0,46.0,51.0,38.0,37.0,67.0,86.0,,31.0,,54.0,58.0,52.0,81.0,60.0,26.0,50.0,57.0,19.0,63.0,39.0,38.0,83.0,25.0,39.0,51.0,48.0,22.0,54.0,46.0,67.0,41.0,39.0,23.0,32.0
